column_name,ShortName
awardDetails.awardeeData.awardeeRegistrationDetails.registrationDate,awardee_reg_dt
awardDetails.awardeeData.awardeeRegistrationDetails.renewalDate,awardee_renewal_dt
awardDetails.awardeeData.awardeeBusinessTypes.isUsFederalGovernment.usFederalGovernment,awardee_fed_gov
awardDetails.awardeeData.awardeeBusinessTypes.isUsFederalGovernment.federalAgency,awardee_fed_agency
awardDetails.awardeeData.awardeeBusinessTypes.isUsFederalGovernment.federallyFundedResearchAndDevelopmentCorp,awardee_ffrdc
awardDetails.awardeeData.awardeeBusinessTypes.usStateGovernment,awardee_state_gov
awardDetails.awardeeData.awardeeBusinessTypes.foreignGovernment,awardee_foreign_gov
awardDetails.awardeeData.awardeeBusinessTypes.usTribalGovernment,awardee_tribal_gov
awardDetails.awardeeData.awardeeBusinessTypes.communityDevelopmentCorporationOwnedConcern,awardee_cdc_owned
awardDetails.awardeeData.awardeeBusinessTypes.isUsLocalGovernment.usLocalGovernment,awardee_local_gov
awardDetails.awardeeData.awardeeBusinessTypes.isUsLocalGovernment.city,awardee_local_gov_city
awardDetails.awardeeData.awardeeBusinessTypes.isUsLocalGovernment.county,awardee_local_gov_county
awardDetails.awardeeData.awardeeBusinessTypes.isUsLocalGovernment.intermunicipal,awardee_intermunicipal
awardDetails.awardeeData.awardeeBusinessTypes.isUsLocalGovernment.localGovernmentOwned,awardee_local_gov_owned
awardDetails.awardeeData.awardeeBusinessTypes.isUsLocalGovernment.municipality,awardee_municipality
awardDetails.awardeeData.awardeeBusinessTypes.isUsLocalGovernment.schooldistrict,awardee_school_dist
awardDetails.awardeeData.awardeeBusinessTypes.isUsLocalGovernment.township,awardee_township
awardDetails.awardeeData.awardeeBusinessTypes.usGovernmentEntity,awardee_us_gov_entity
awardDetails.awardeeData.awardeeBusinessTypes.laborSurplusAreaFirm,awardee_labor_surplus
awardDetails.awardeeData.awardeeBusinessTypes.businessOrOrganization.corporateEntityNotTaxExempt,awardee_corp
awardDetails.awardeeData.awardeeBusinessTypes.businessOrOrganization.corporateEntityTaxExempt,awardee_corp_tax_exempt
awardDetails.awardeeData.awardeeBusinessTypes.businessOrOrganization.partnershipOrLimitedLiabilityPartnership,awardee_llp
awardDetails.awardeeData.awardeeBusinessTypes.businessOrOrganization.soleProprietorship,awardee_sole_prop
awardDetails.awardeeData.awardeeBusinessTypes.businessOrOrganization.smallAgriculturalCooperative,awardee_ag_coop
awardDetails.awardeeData.awardeeBusinessTypes.businessOrOrganization.internationalOrganization,awardee_intl_org
awardDetails.awardeeData.socioEconomicData.alaskanNativeCorporationOwnedFirm,awardee_alaska_native_corp
awardDetails.awardeeData.socioEconomicData.americanIndianOwned,awardee_american_indian
awardDetails.awardeeData.socioEconomicData.indianTribeFederallyRecognized,awardee_indian_tribe
awardDetails.awardeeData.socioEconomicData.nativeHawaiianOrganizationOwnedFirm,awardee_hawaiian_org
awardDetails.awardeeData.socioEconomicData.triballyOwnedFirm,awardee_tribal_firm
awardDetails.awardeeData.socioEconomicData.veteranOwnedBusiness,awardee_vob
awardDetails.awardeeData.socioEconomicData.serviceDisabledVeteranOwnedBusiness,awardee_sdvob
awardDetails.awardeeData.socioEconomicData.serviceDisabledVeteranOwnedBusinessJointVenture,awardee_sdvob_jv
awardDetails.awardeeData.socioEconomicData.isMinorityOwnedBusiness.minorityOwnedBusiness,awardee_minority_owned
awardDetails.awardeeData.socioEconomicData.isMinorityOwnedBusiness.asianPacificAmericanOwned,awardee_aapi_owned
awardDetails.awardeeData.socioEconomicData.isMinorityOwnedBusiness.blackAmericanOwned,awardee_black_owned
awardDetails.awardeeData.socioEconomicData.isMinorityOwnedBusiness.hispanicAmericanOwned,awardee_hispanic_owned
awardDetails.awardeeData.socioEconomicData.isMinorityOwnedBusiness.nativeAmericanOwned,awardee_native_owned
awardDetails.awardeeData.socioEconomicData.isMinorityOwnedBusiness.subcontinentAsianAsianIndianAmericanOwned,awardee_subcont_asian_owned
awardDetails.awardeeData.socioEconomicData.isMinorityOwnedBusiness.individualOrConcernOtherThanOneOfThePreceding,awardee_other_minority
awardDetails.awardeeData.socioEconomicData.womenOwnedBusiness,awardee_women_owned
awardDetails.awardeeData.socioEconomicData.womenOwnedSmallBusiness,awardee_wosb
awardDetails.awardeeData.socioEconomicData.economicallyDisadvantagedWomenOwnedSmallBusiness,awardee_edwosb
awardDetails.awardeeData.socioEconomicData.womenOwnedSmallBusinessJointVenture,awardee_wosb_jv
awardDetails.awardeeData.socioEconomicData.economicallyDisadvantagedWomenOwnedSmallBusinessJointVenture,awardee_edwosb_jv
awardDetails.awardeeData.socioEconomicData.emergingSmallBusiness,awardee_emerging_sb
awardDetails.awardeeData.socioEconomicData.smallBusinessJointVenture,awardee_sb_jv
awardDetails.awardeeData.socioEconomicData.smallBusiness,awardee_small_biz
awardDetails.awardeeData.socioEconomicData.VerySmallBusiness,awardee_very_small_biz
awardDetails.awardeeData.lineOfBusiness.communityDevelopmentCorporation,awardee_lob_cdc
awardDetails.awardeeData.lineOfBusiness.domesticShelter,awardee_lob_shelter
awardDetails.awardeeData.lineOfBusiness.educationalInstitution,awardee_lob_education
awardDetails.awardeeData.lineOfBusiness.foundation,awardee_lob_foundation
awardDetails.awardeeData.lineOfBusiness.hospital,awardee_lob_hospital
awardDetails.awardeeData.lineOfBusiness.manufacturerOfGoods,awardee_lob_mfg
awardDetails.awardeeData.lineOfBusiness.veterinaryHospital,awardee_lob_vet_hospital
awardDetails.awardeeData.lineOfBusiness.hispanicServicingInstitution,awardee_lob_hispanic_inst
awardDetails.awardeeData.relationshipWithFederalGovernment.contracts,awardee_rel_contracts
awardDetails.awardeeData.relationshipWithFederalGovernment.federalassistanceawards,awardee_rel_asst_awards
awardDetails.awardeeData.relationshipWithFederalGovernment.allawards,awardee_rel_all_awards
awardDetails.awardeeData.otherGovernmentalEntities.airportAuthority,awardee_gov_airport
awardDetails.awardeeData.otherGovernmentalEntities.councilOfGovernments,awardee_gov_council
awardDetails.awardeeData.otherGovernmentalEntities.housingAuthoritiesPublicTribal,awardee_gov_housing
awardDetails.awardeeData.otherGovernmentalEntities.interstateEntity,awardee_gov_interstate
awardDetails.awardeeData.otherGovernmentalEntities.planningCommission,awardee_gov_planning
awardDetails.awardeeData.otherGovernmentalEntities.portAuthority,awardee_gov_port
awardDetails.awardeeData.otherGovernmentalEntities.transitAuthority,awardee_gov_transit
awardDetails.awardeeData.organizationFactors.subchapterSCorporation,awardee_s_corp
awardDetails.awardeeData.organizationFactors.limitedLiabilityCorporation,awardee_llc
awardDetails.awardeeData.organizationFactors.foreignOwned,awardee_foreign_owned
awardDetails.awardeeData.organizationFactors.theAbilityOneProgram,awardee_ability_one
awardDetails.awardeeData.organizationFactors.profitStructure.forProfitOrganization,awardee_for_profit
awardDetails.awardeeData.organizationFactors.profitStructure.nonProfitOrganization,awardee_nonprofit
awardDetails.awardeeData.organizationFactors.profitStructure.otherNotForProfitOrganization,awardee_other_nonprofit
awardDetails.awardeeData.organizationFactors.organizationType,awardee_org_type
awardDetails.awardeeData.organizationFactors.stateOfIncorporation.code,awardee_incorp_state_cd
awardDetails.awardeeData.organizationFactors.stateOfIncorporation.name,awardee_incorp_state_nm
awardDetails.awardeeData.organizationFactors.countryOfIncorporation.code,awardee_incorp_country_cd
awardDetails.awardeeData.organizationFactors.countryOfIncorporation.name,awardee_incorp_country_nm
awardDetails.awardeeData.educationalEntities.historicallyBlackCollegeOrUniversity,awardee_hbcu
awardDetails.awardeeData.educationalEntities.minorityInstitution,awardee_minority_inst
awardDetails.awardeeData.educationalEntities.privateUniversityOrCollege,awardee_private_univ
awardDetails.awardeeData.educationalEntities.schoolOfForestry,awardee_forestry_school
awardDetails.awardeeData.educationalEntities.stateControlledInstitutionOfHigherLearning,awardee_state_univ
awardDetails.awardeeData.educationalEntities.tribalCollege,awardee_tribal_college
awardDetails.awardeeData.educationalEntities.veterinaryCollege,awardee_vet_college
awardDetails.awardeeData.educationalEntities.alaskanNativeServicingInstitution,awardee_alaska_native_inst
awardDetails.awardeeData.educationalEntities.nativeHawaiianServicingInstitution,awardee_hawaiian_inst
awardDetails.awardeeData.educationalEntities.1862LandGrantCollege,awardee_1862_land_grant
awardDetails.awardeeData.educationalEntities.1890LandGrantCollege,awardee_1890_land_grant
awardDetails.awardeeData.educationalEntities.1994LandGrantCollege,awardee_1994_land_grant
awardDetails.awardeeData.certifications.sbaCertified8aProgramParticipant,awardee_cert_8a
awardDetails.awardeeData.certifications.sbaCertified8aJointVenture,awardee_cert_8a_jv
awardDetails.awardeeData.certifications.selfCertifiedHubZoneJointVenture,awardee_cert_hubzone_jv
awardDetails.awardeeData.certifications.sbaCertifiedSmallDisadvantagedBusiness,awardee_cert_sdb
awardDetails.awardeeData.certifications.sbaCertifiedHubZoneFirm,awardee_cert_hubzone
awardDetails.awardeeData.certifications.sbaCertifiedEconomicallyDisadvantagedWomenOwnedSmallBusiness,awardee_cert_edwosb
awardDetails.awardeeData.certifications.selfCertifiedSmallDisadvantagedBusiness,awardee_selfcert_sdb
awardDetails.awardeeData.certifications.dotCertifiedDisadvantagedBusinessEnterprise,awardee_cert_dbe
awardDetails.awardeeData.certifications.sbaCertifiedWomenOwnedSmallBusiness,awardee_cert_wosb
awardDetails.transactionData.status.code,trans_status_cd
awardDetails.transactionData.status.name,trans_status_nm
awardDetails.transactionData.version,trans_version
awardDetails.transactionData.createdBy,trans_created_by
awardDetails.transactionData.createdDate,trans_created_dt
awardDetails.transactionData.lastModifiedBy,trans_modified_by
awardDetails.transactionData.lastModifiedDate,trans_modified_dt
awardDetails.transactionData.approvedBy,trans_approved_by
awardDetails.transactionData.approvedDate,trans_approved_dt
awardDetails.transactionData.closedStatus,trans_closed_status
coreData.acquisitionData.nationalInterestAction.code,natl_interest_cd
coreData.acquisitionData.nationalInterestAction.name,natl_interest_nm
coreData.competitionInformation.typeOfSetAside.code,set_aside_cd
coreData.competitionInformation.typeOfSetAside.name,set_aside_nm
coreData.competitionInformation.otherThanFullAndOpenCompetition.code,other_full_open_cd
coreData.competitionInformation.otherThanFullAndOpenCompetition.name,other_full_open_nm
coreData.competitionInformation.smallBusinessCompetitivenessDemonstrationProgram.code,sb_comp_demo_cd
awardDetails.transactionData.closedBy,trans_closed_by
awardDetails.transactionData.closedDate,trans_closed_dt
awardDetails.treasuryAccount.agencyIdentifier,treasury_agency_id
awardDetails.treasuryAccount.mainAccountCode,treasury_main_acct_cd
coreData.principalPlaceOfPerformance.city.code,pop_city_cd
awardDetails.contractData.costAccountingStandardsClause.code,cost_acctg_std_cd
awardDetails.contractData.costAccountingStandardsClause.name,cost_acctg_std_nm
awardDetails.awardeeData.awardeeHeader.awardeeAlternateName,awardee_alt_nm
awardDetails.preferenceProgramsInformation.reasonNotAwardedToSmallDisadvantagedBusiness.code,not_sdb_reason_cd
awardDetails.preferenceProgramsInformation.reasonNotAwardedToSmallDisadvantagedBusiness.name,not_sdb_reason_nm
awardDetails.awardeeData.awardeeHeader.awardeeDoingBusinessAsName,awardee_dba_nm
coreData.acquisitionData.contractFinancing.code,contract_financing_cd
coreData.acquisitionData.contractFinancing.name,contract_financing_nm
coreData.preferenceProgramsInformation.priceEvaluationPercentDifference,ppi_price_diff
awardDetails.awardeeData.awardeeLocation.streetAddress2,awardee_addr2
awardDetails.preferenceProgramsInformation.reasonNotAwardedToSmallBusiness.code,not_sb_reason_cd
awardDetails.preferenceProgramsInformation.reasonNotAwardedToSmallBusiness.name,not_sb_reason_nm
awardDetails.contractData.part8OrPart13,part8_or_part13
awardDetails.contractData.referencedIDVPart8OrPart13,ref_idv_part8_or_part13
coreData.productOrServiceInformation.informationTechnologyCommercialItemCategory.code,pos_naics_cd
coreData.productOrServiceInformation.informationTechnologyCommercialItemCategory.name,pos_naics_nm
awardDetails.productOrServiceInformation.seaTransportation.code,sea_transport_cd
awardDetails.productOrServiceInformation.seaTransportation.name,sea_transport_nm
coreData.competitionInformation.sbirSTTR.code,sbir_sttr_cd
coreData.competitionInformation.sbirSTTR.name,sbir_sttr_nm
coreData.acquisitionData.majorProgramCode,major_prog_cd
awardDetails.awardeeData.far41102Exception.code,awardee_far41102_cd
awardDetails.awardeeData.far41102Exception.name,awardee_far41102_nm
awardDetails.treasuryAccount.subAccountCode,treasury_sub_acct_cd
coreData.acquisitionData.typeOfIdc.name,idc_type_nm
coreData.acquisitionData.multipleOrSingleAwardIdc.code,multi_single_idc_cd
coreData.acquisitionData.multipleOrSingleAwardIdc.name,multi_single_idc_nm
coreData.productOrServiceInformation.dodAcquisitionProgram.code,pos_dom_foreign_cd
coreData.productOrServiceInformation.dodAcquisitionProgram.name,pos_dom_foreign_nm
coreData.acquisitionMarketingData.whoCanUse.name,mktg_who_can_use_nm
awardDetails.dates.lastDateToOrder,last_order_dt
awardDetails.dollars.totalEstimatedOrderValue,total_est_order_val
awardDetails.contractMarketingData.individualOrderLimit,indiv_order_limit
awardDetails.nasaSpecificData.contractFundCode,nasa_fund_cd
awardDetails.nasaSpecificData.fieldOfScienceOrEngineering,nasa_science_field
awardDetails.nasaSpecificData.principalInvestigatOrFirstName,nasa_pi_first_nm
awardDetails.nasaSpecificData.principalInvestigatOrMiddleInitial,nasa_pi_mid_init
awardDetails.nasaSpecificData.principalInvestigatOrLastName,nasa_pi_last_nm
awardDetails.nasaSpecificData.alternatePrincipalInvestigatorFirstName,nasa_alt_pi_first_nm
awardDetails.nasaSpecificData.alternatePrincipalInvestigatOrMiddleInitial,nasa_alt_pi_mid_init
awardDetails.nasaSpecificData.alternatePrincipalInvestigatOrLastName,nasa_alt_pi_last_nm
awardDetails.nasaSpecificData.closeoutPR,nasa_closeout_pr
coreData.initiative.code,initiative_cd
coreData.initiative.name,initiative_nm
awardDetails.contractMarketingData.typeOfFeeForUseOfService.name,fee_type_nm
coreData.legislativeMandates.otherStatutoryAuthority,lm_other_authority
awardDetails.contractMarketingData.websiteUrl,mktg_website_url
awardDetails.dollars.nonGovernmentDollars,non_gov_dollars
awardDetails.totalContractDollars.totalNonGovernmentDollars,total_non_gov_dollars
awardDetails.competitionInformation.typeOfAgreement.name,agreement_type_nm
awardDetails.competitionInformation.nontraditionalGovernmentEntityParticipation.code,nontrad_gov_part_cd
